IR,Num. Groups,Member Sub-Groups,,,,,,Conn. Sub-Groups
908266,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G772-SUB-OTHERS,,,,
780935,3,GANG-G222-SUB-12,GANG-G224-SUB-3,,,,,GANG-G224-SUB-8,
77735,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,
576783,3,GANG-G222-SUB-OTHERS,GANG-G579-SUB-1,,,,,GANG-G224-SUB-OTHERS,
499137,3,GANG-G222-SUB-3,GANG-G224-SUB-2,,,,,GANG-G224-SUB-3,
497782,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,
494821,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,
292927,3,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,GANG-G772-SUB-OTHERS,,,,
237605,3,GANG-G222-SUB-OTHERS,,,,,,GANG-G579-SUB-OTHERS,GANG-G224-SUB-OTHERS,
15506,3,GANG-G222-SUB-3,GANG-G224-SUB-2,,,,,GANG-G224-SUB-3,
995663,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
981840,2,GANG-G222-SUB-11,GANG-G224-SUB-9,,,,,
977110,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-3,
972978,2,GANG-G222-SUB-8,GANG-G579-SUB-OTHERS,,,,,
964750,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
962135,2,GANG-G222-SUB-OTHERS,GANG-G579-SUB-1,,,,,
947769,2,GANG-G222-SUB-3,,,,,,GANG-G224-SUB-2,
943926,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
940924,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
928894,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
923700,2,GANG-G222-SUB-8,GANG-G579-SUB-OTHERS,,,,,
889509,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-3,,,,,
874899,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
855284,2,GANG-G222-SUB-11,GANG-G224-SUB-9,,,,,
845279,2,GANG-G222-SUB-12,GANG-G224-SUB-3,,,,,
843356,2,GANG-G222-SUB-11,,,,,,GANG-G224-SUB-9,
820269,2,GANG-G222-SUB-3,GANG-G224-SUB-2,,,,,
812843,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
795134,2,GANG-G222-SUB-8,,,,,,GANG-G579-SUB-OTHERS,
784997,2,GANG-G222-SUB-1,,,,,,GANG-G579-SUB-OTHERS,
784206,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
756727,2,GANG-G222-SUB-1,,,,,,GANG-G579-SUB-OTHERS,
75277,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
740845,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-13,,,,,
70773,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
695487,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-3,,,,,
693859,2,GANG-G222-SUB-16,,,,,,GANG-G224-SUB-OTHERS,
693801,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-7,,,,,
667458,2,GANG-G222-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,,
662996,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
641092,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
599330,2,GANG-G222-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,,
57815,2,GANG-G222-SUB-16,GANG-G224-SUB-OTHERS,,,,,
568892,2,GANG-G222-SUB-3,GANG-G224-SUB-2,,,,,
568301,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
565271,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
563352,2,GANG-G222-SUB-16,,,,,,GANG-G224-SUB-OTHERS,
563203,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
555019,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
528219,2,GANG-G222-SUB-8,GANG-G579-SUB-OTHERS,,,,,
476736,2,GANG-G222-SUB-11,GANG-G224-SUB-9,,,,,
458917,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G224-SUB-OTHERS,
44799,2,GANG-G222-SUB-3,GANG-G224-SUB-2,,,,,
432087,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
412564,2,GANG-G222-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,,
401212,2,GANG-G222-SUB-12,,,,,,GANG-G224-SUB-3,
361443,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
348273,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
300930,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-7,,,,,
299879,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-13,,,,,
261698,2,GANG-G222-SUB-3,,,,,,GANG-G224-SUB-2,
259724,2,GANG-G222-SUB-12,,,,,,GANG-G224-SUB-3,
253514,2,GANG-G222-SUB-16,,,,,,GANG-G224-SUB-OTHERS,
217970,2,GANG-G222-SUB-1,,,,,,GANG-G579-SUB-OTHERS,
153400,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
152233,2,GANG-G222-SUB-OTHERS,,,,,,GANG-G579-SUB-OTHERS,
143792,2,GANG-G222-SUB-8,,,,,,GANG-G579-SUB-OTHERS,
137796,2,GANG-G222-SUB-16,,,,,,GANG-G224-SUB-OTHERS,
120906,2,GANG-G222-SUB-12,GANG-G224-SUB-3,,,,,
116920,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-7,,,,,
113345,2,GANG-G222-SUB-11,GANG-G224-SUB-9,,,,,
110552,2,GANG-G222-SUB-OTHERS,GANG-G579-SUB-OTHERS,,,,,
100507,2,GANG-G222-SUB-OTHERS,GANG-G224-SUB-OTHERS,,,,,
