296244,296244(1.0)
292927,292927(0.54)
794587,794587(1.0)
613350,613350(1.0)
945495,945495(1.0)
142104,142104(0.56)
324986,324986(1.0)
676312,676312(1.0)
912832,912832(1.0)
831493,831493(1.0)
223160,223160(1.0)
22471,22471(1.0)
933835,933835(1.0)
310732,310732(1.0)
936286,936286(1.0)
699866,699866(1.0)
662068,662068(1.0)
682047,682047(1.0)
474053,474053(1.0)
464360,464360(1.0)
29900,29900(1.0)
519971,519971(1.0)
288029,288029(1.0)
397246,397246(1.0)
308188,308188(1.0)
841763,841763(1.0)
846541,846541(1.0)
682610,682610(1.0)
298999,298999(1.0)
541918,541918(1.0)
885741,885741(1.0)
678789,678789(1.0)
605001,605001(1.0)
879264,879264(1.0)
362326,362326(0.74)
638586,638586(1.0)
784355,784355(1.0)
332030,332030(1.0)
100952,100952(1.0)
530475,530475(1.0)
167205,167205(1.0)
344842,344842(1.0)
43288,43288(1.0)
137220,137220(1.0)
770647,770647(1.0)
791708,791708(1.0)
557410,557410(1.0)
933419,933419(1.0)
951488,951488(1.0)
696827,696827(1.0)
909844,909844(1.0)
673957,673957(1.0)
657800,657800(1.0)
530234,530234(1.0)
820444,820444(1.0)
572734,572734(1.0)
546361,546361(1.0)
564216,564216(1.0)
266928,266928(1.0)
587538,587538(1.0)
439630,439630(0.56)
55732,55732(1.0)
976383,976383(1.0)
133902,133902(1.0)
139610,139610(1.0)
574594,574594(1.0)
908266,908266(1.0)
764661,764661(1.0)
438928,438928(1.0)
553569,553569(1.0)
612858,612858(1.0)
292600,292600(1.0)
986545,986545(1.0)
99338,99338(1.0)
458198,458198(1.0)
526124,526124(0.52)
38878,38878(1.0)
257439,257439(1.0)
205819,205819(1.0)
93174,93174(1.0)
641395,641395(1.0)
37260,37260(1.0)
300329,300329(1.0)
871963,871963(0.74)
510896,510896(1.0)
95691,95691(1.0)
642259,642259(0.56)
863044,863044(1.0)
986243,986243(1.0)
136196,136196(1.0)
566233,566233(1.0)
522489,522489(1.0)
371855,371855(1.0)
607353,607353(1.0)
524381,524381(1.0)
78151,78151(1.0)
772579,772579(1.0)
815784,815784(1.0)
720845,720845(1.0)
205577,205577(1.0)
93792,93792(1.0)
699202,699202(1.0)
