415313(0.52),545737(1.0)
336308(1.0),808979(1.0)
336308(1.0),125220(1.0)
336308(1.0),210783(1.0)
336308(1.0),411724(1.0)
336308(1.0),757678(1.0)
757678(1.0),12064(1.0)
757678(1.0),808979(1.0)
757678(1.0),228114(1.0)
757678(1.0),411724(1.0)
757678(1.0),78176(1.0)
125220(1.0),338149(1.0)
709538(0.52),338149(1.0)
213734(1.0),951076(1.0)
956312(1.0),79012(1.0)
336579(1.0),27127(1.0)
336579(1.0),207054(1.0)
78176(1.0),228114(1.0)
78176(1.0),12064(1.0)
948532(1.0),187973(0.52)
948532(1.0),712413(1.0)
948532(1.0),228711(1.0)
948532(1.0),260554(1.0)
948532(1.0),895233(1.0)
192820(1.0),79012(1.0)
338874(1.0),338149(1.0)
338874(1.0),411724(1.0)
338874(1.0),267900(1.0)
338874(1.0),247545(1.0)
808979(1.0),411724(1.0)
228114(1.0),12064(1.0)
524878(1.0),221154(1.0)
267900(1.0),338149(1.0)
267900(1.0),12064(1.0)
267900(1.0),247545(1.0)
706660(1.0),90099(1.0)
247545(1.0),338149(1.0)
712413(1.0),895233(1.0)
